YEAR_MONTH,FISCAL_YEAR,BRAND,BRAND_QUALITY_SIZE,SALES_CHANNEL,VOLUME_IN_L,NET_SALES,COGS
202011,2021,brand_e,,on_trade,587.52,-24417.6,2062.28
202109,2022,brand_a,,on_trade,206031.177,701495.8,355934.21
201912,2020,brand_f,,off_trade,59384.916,363023.74,106744.67
202205,2022,brand_c,,off_trade,387531,1305900.81,843229.03
202212,2023,brand_e,,off_trade,98815.68,1129923.69,203915.16
201809,2019,brand_f,,off_trade,21629.376,119874.28,39112.67
202005,2020,brand_k,,on_trade,27.486,-11635.57,194.65
202111,2022,brand_i,,on_trade,9442.161,113080.6,41145.88
202208,2023,brand_f,,on_trade,69139.17,-437864.95,126566.86
201810,2019,brand_e,,off_trade,67818.852,647834.91,153166.31
201808,2019,brand_g,,off_trade,166861.323,1276121.26,322342.16
202205,2022,brand_j,,off_trade,26821.152,216019.99,47879.05
